name,owner,stars,forks,language,url,releases,age_years
AndroidPdfViewer,DImuthuUpe,8265,1938,Java,https://github.com/DImuthuUpe/AndroidPdfViewer,0,0
shardingsphere-elasticjob,apache,8174,3285,Java,https://github.com/apache/shardingsphere-elasticjob,0,0
testcontainers-java,testcontainers,8162,1686,Java,https://github.com/testcontainers/testcontainers-java,0,0
atlas,alibaba,8140,1475,Java,https://github.com/alibaba/atlas,0,0
MaterialViewPager,florent37,8120,1478,Java,https://github.com/florent37/MaterialViewPager,0,0
LitePal,guolindev,8108,1586,Java,https://github.com/guolindev/LitePal,0,0
im-server,wildfirechat,8104,1828,Java,https://github.com/wildfirechat/im-server,0,0
otter,alibaba,8093,2494,Java,https://github.com/alibaba/otter,0,0
beam,apache,8045,4320,Java,https://github.com/apache/beam,0,0
ysoserial,frohoff,8043,1784,Java,https://github.com/frohoff/ysoserial,0,0
SimianArmy,Netflix,7982,1132,Java,https://github.com/Netflix/SimianArmy,0,0
subsampling-scale-image-view,davemorrissey,7940,1209,Java,https://github.com/davemorrissey/subsampling-scale-image-view,0,0
pentaho-kettle,pentaho,7923,3508,Java,https://github.com/pentaho/pentaho-kettle,0,0
hugo,JakeWharton,7923,798,Java,https://github.com/JakeWharton/hugo,0,0
transmittable-thread-local,alibaba,7882,1703,Java,https://github.com/alibaba/transmittable-thread-local,0,0
UltimateAndroidReference,aritraroy,7870,1290,Java,https://github.com/aritraroy/UltimateAndroidReference,0,0
XPopup,junixapp,7860,1190,Java,https://github.com/junixapp/XPopup,0,0
HomeMirror,HannahMitt,7852,668,Java,https://github.com/HannahMitt/HomeMirror,0,0
metrics,dropwizard,7843,1812,Java,https://github.com/dropwizard/metrics,0,0
LSPatch,LSPosed,7806,869,Java,https://github.com/LSPosed/LSPatch,0,0
material-theme-jetbrains,ChrisRM,7805,448,Java,https://github.com/ChrisRM/material-theme-jetbrains,0,0
tomcat,apache,7756,5126,Java,https://github.com/apache/tomcat,0,0
javacv,bytedeco,7721,1603,Java,https://github.com/bytedeco/javacv,0,0
RxLifecycle,trello-archive,7704,638,Java,https://github.com/trello-archive/RxLifecycle,0,0
react-native-svg,software-mansion,7669,1149,Java,https://github.com/software-mansion/react-native-svg,0,0
vjtools,vipshop,7650,1524,Java,https://github.com/vipshop/vjtools,0,0
MVVMHabit,goldze,7644,1697,Java,https://github.com/goldze/MVVMHabit,0,0
aeron,aeron-io,7636,912,Java,https://github.com/aeron-io/aeron,0,0
graylog2-server,Graylog2,7601,1083,Java,https://github.com/Graylog2/graylog2-server,0,0
baritone,cabaletta,7596,1525,Java,https://github.com/cabaletta/baritone,0,0
MyBookshelf,gedoor,7592,1816,Java,https://github.com/gedoor/MyBookshelf,0,0
android-classyshark,google,7562,870,Java,https://github.com/google/android-classyshark,0,0
Shadow,Tencent,7554,1317,Java,https://github.com/Tencent/Shadow,0,0
RxJava-Android-Samples,kaushikgopal,7538,1373,Java,https://github.com/kaushikgopal/RxJava-Android-Samples,0,0
AndroidAsync,koush,7537,1561,Java,https://github.com/koush/AndroidAsync,0,0
PojavLauncher,PojavLauncherTeam,7514,1388,Java,https://github.com/PojavLauncherTeam/PojavLauncher,0,0
