name,owner,stars,forks,language,url
vespa,vespa-engine,6065,626,Java,https://github.com/vespa-engine/vespa
gephi,gephi,6058,1578,Java,https://github.com/gephi/gephi
EffectiveAndroidUI,pedrovgs,6024,1191,Java,https://github.com/pedrovgs/EffectiveAndroidUI
dynamic-load-apk,singwhatiwanna,6020,1995,Java,https://github.com/singwhatiwanna/dynamic-load-apk
XXPermissions,getActivity,6019,811,Java,https://github.com/getActivity/XXPermissions
j2objc,google,6008,980,Java,https://github.com/google/j2objc
flink-cdc,apache,6003,2007,Java,https://github.com/apache/flink-cdc
material,rey5137,5998,1317,Java,https://github.com/rey5137/material
java-jwt,auth0,5995,934,Java,https://github.com/auth0/java-jwt
physical-web,google,5988,663,Java,https://github.com/google/physical-web
xUtils3,wyouflf,5980,1979,Java,https://github.com/wyouflf/xUtils3
incubator-kie-drools,apache,5976,2534,Java,https://github.com/apache/incubator-kie-drools
useful-java-links,Vedenin,5964,1186,Java,https://github.com/Vedenin/useful-java-links
ssm,liyifeng1994,5951,2748,Java,https://github.com/liyifeng1994/ssm
robolectric,robolectric,5941,1374,Java,https://github.com/robolectric/robolectric
springfox,springfox,5938,1536,Java,https://github.com/springfox/springfox
androidmvp,antoniolg,5926,1570,Java,https://github.com/antoniolg/androidmvp
material-calendarview,prolificinteractive,5921,1311,Java,https://github.com/prolificinteractive/material-calendarview
SoloPi,alipay,5906,1229,Java,https://github.com/alipay/SoloPi
mini-spring,DerekYRC,5901,1378,Java,https://github.com/DerekYRC/mini-spring
SpringBootVulExploit,LandGrey,5889,1313,Java,https://github.com/LandGrey/SpringBootVulExploit
motan,weibocom,5886,1769,Java,https://github.com/weibocom/motan
btrace,btraceio,5871,961,Java,https://github.com/btraceio/btrace
vavr,vavr-io,5868,643,Java,https://github.com/vavr-io/vavr
blade,lets-blade,5861,1172,Java,https://github.com/lets-blade/blade
zxing-android-embedded,journeyapps,5826,1280,Java,https://github.com/journeyapps/zxing-android-embedded
jetlinks-community,jetlinks,5826,1733,Java,https://github.com/jetlinks/jetlinks-community
BoomMenu,Nightonke,5803,1153,Java,https://github.com/Nightonke/BoomMenu
DiscreteScrollView,yarolegovich,5788,785,Java,https://github.com/yarolegovich/DiscreteScrollView
tcc-transaction,changmingxie,5787,2788,Java,https://github.com/changmingxie/tcc-transaction
DiskLruCache,JakeWharton,5786,1176,Java,https://github.com/JakeWharton/DiskLruCache
circular-progress-button,dmytrodanylyk,5768,1181,Java,https://github.com/dmytrodanylyk/circular-progress-button
camel,apache,5768,5006,Java,https://github.com/apache/camel
Fast-Android-Networking,amitshekhariitbhu,5765,967,Java,https://github.com/amitshekhariitbhu/Fast-Android-Networking
kafdrop,obsidiandynamics,5764,872,Java,https://github.com/obsidiandynamics/kafdrop
InfiniteCycleViewPager,Devlight,5736,829,Java,https://github.com/Devlight/InfiniteCycleViewPager
google-java-format,google,5734,872,Java,https://github.com/google/google-java-format
datax-web,WeiYe-Jing,5726,2187,Java,https://github.com/WeiYe-Jing/datax-web
lanproxy,ffay,5725,1550,Java,https://github.com/ffay/lanproxy
wvp-GB28181-pro,648540858,5721,1623,Java,https://github.com/648540858/wvp-GB28181-pro
javaparser,javaparser,5718,1190,Java,https://github.com/javaparser/javaparser
FastHub,k0shk0sh,5716,925,Java,https://github.com/k0shk0sh/FastHub
traccar,traccar,5711,2711,Java,https://github.com/traccar/traccar
aurora-imui,jpush,5711,998,Java,https://github.com/jpush/aurora-imui
iotdb,apache,5710,1037,Java,https://github.com/apache/iotdb
hippo4j,opengoofy,5707,1202,Java,https://github.com/opengoofy/hippo4j
Discovery,Nepxion,5700,1432,Java,https://github.com/Nepxion/Discovery
springside4,springside,5699,2898,Java,https://github.com/springside/springside4
hudi,apache,5698,2389,Java,https://github.com/apache/hudi
QR-Code-generator,nayuki,5688,1154,Java,https://github.com/nayuki/QR-Code-generator
SwipeRecyclerView,yanzhenjie,5682,1098,Java,https://github.com/yanzhenjie/SwipeRecyclerView
pinot,apache,5681,1345,Java,https://github.com/apache/pinot
graphhopper,graphhopper,5673,1683,Java,https://github.com/graphhopper/graphhopper
u2020,JakeWharton,5672,926,Java,https://github.com/JakeWharton/u2020
hive,apache,5663,4722,Java,https://github.com/apache/hive
TV,FongMi,5653,1872,Java,https://github.com/FongMi/TV
austin,ZhongFuCheng3y,5651,1394,Java,https://github.com/ZhongFuCheng3y/austin
api-samples,youtube,5646,3000,Java,https://github.com/youtube/api-samples
IJPay,Javen205,5646,1379,Java,https://github.com/Javen205/IJPay
react-native-splash-screen,crazycodeboy,5640,1104,Java,https://github.com/crazycodeboy/react-native-splash-screen
HTextView,hanks-zyh,5639,814,Java,https://github.com/hanks-zyh/HTextView
Blurry,wasabeef,5631,606,Java,https://github.com/wasabeef/Blurry
