name,owner,stars,forks,language,url
JavaGuide,Snailclimb,148826,45767,Java,https://github.com/Snailclimb/JavaGuide
hello-algo,krahets,110752,13799,Java,https://github.com/krahets/hello-algo
java-design-patterns,iluwatar,91024,26849,Java,https://github.com/iluwatar/java-design-patterns
mall,macrozheng,79598,29106,Java,https://github.com/macrozheng/mall
advanced-java,doocs,77277,19165,Java,https://github.com/doocs/advanced-java
spring-boot,spring-projects,76509,40999,Java,https://github.com/spring-projects/spring-boot
LeetCodeAnimation,MisterBooo,75776,13979,Java,https://github.com/MisterBooo/LeetCodeAnimation
elasticsearch,elastic,72064,25096,Java,https://github.com/elastic/elasticsearch
interviews,kdn251,64024,12915,Java,https://github.com/kdn251/interviews
Java,TheAlgorithms,61133,19810,Java,https://github.com/TheAlgorithms/Java
spring-framework,spring-projects,57602,38389,Java,https://github.com/spring-projects/spring-framework
ghidra,NationalSecurityAgency,55542,6227,Java,https://github.com/NationalSecurityAgency/ghidra
Stirling-PDF,Stirling-Tools,54546,4533,Java,https://github.com/Stirling-Tools/Stirling-PDF
guava,google,50599,10963,Java,https://github.com/google/guava
RxJava,ReactiveX,48051,7609,Java,https://github.com/ReactiveX/RxJava
jadx,skylot,43249,5011,Java,https://github.com/skylot/jadx
dbeaver,dbeaver,42352,3603,Java,https://github.com/dbeaver/dbeaver
JeecgBoot,jeecgboot,41961,15177,Java,https://github.com/jeecgboot/JeecgBoot
dubbo,apache,40833,26500,Java,https://github.com/apache/dubbo
termux-app,termux,39912,4281,Java,https://github.com/termux/termux-app
MPAndroidChart,PhilJay,37873,9038,Java,https://github.com/PhilJay/MPAndroidChart
tutorials,eugenp,37102,54400,Java,https://github.com/eugenp/tutorials
arthas,alibaba,36076,7539,Java,https://github.com/alibaba/arthas
hello-algorithm,geekxh,35526,6470,Java,https://github.com/geekxh/hello-algorithm
lottie-android,airbnb,35247,5438,Java,https://github.com/airbnb/lottie-android
halo,halo-dev,35025,9839,Java,https://github.com/halo-dev/halo
glide,bumptech,34821,6150,Java,https://github.com/bumptech/glide
netty,netty,33901,16032,Java,https://github.com/netty/netty
spring-boot-demo,xkcoding,33512,10952,Java,https://github.com/xkcoding/spring-boot-demo
AndroidUtilCode,Blankj,33498,10709,Java,https://github.com/Blankj/AndroidUtilCode
leetcode,doocs,33364,8768,Java,https://github.com/doocs/leetcode
NewPipe,TeamNewPipe,33280,3154,Java,https://github.com/TeamNewPipe/NewPipe
easyexcel,alibaba,33235,7616,Java,https://github.com/alibaba/easyexcel
zxing,zxing,33165,9383,Java,https://github.com/zxing/zxing
selenium,SeleniumHQ,31908,8367,Java,https://github.com/SeleniumHQ/selenium
nacos,alibaba,31013,12965,Java,https://github.com/alibaba/nacos
WxJava,binarywang,30767,8805,Java,https://github.com/binarywang/WxJava
spring-boot-examples,ityouknow,30407,12339,Java,https://github.com/ityouknow/spring-boot-examples
ruoyi-vue-pro,YunaiV,29816,6432,Java,https://github.com/YunaiV/ruoyi-vue-pro
kafka,apache,29700,14238,Java,https://github.com/apache/kafka
hutool,chinabugotech,29641,7569,Java,https://github.com/chinabugotech/hutool
apollo,apolloconfig,29383,10224,Java,https://github.com/apolloconfig/apollo
canal,alibaba,28913,7647,Java,https://github.com/alibaba/canal
SpringAll,wuyouzhuguli,28674,8182,Java,https://github.com/wuyouzhuguli/SpringAll
xxl-job,xuxueli,28476,11116,Java,https://github.com/xuxueli/xxl-job
spring-cloud-alibaba,alibaba,28313,8384,Java,https://github.com/alibaba/spring-cloud-alibaba
druid,alibaba,28092,8596,Java,https://github.com/alibaba/druid
vhr,lenve,27663,10301,Java,https://github.com/lenve/vhr
