name,owner,stars,forks,language,url,releases,age_years
Play-with-Algorithms,liuyubobobo,3685,1464,Java,https://github.com/liuyubobobo/Play-with-Algorithms,0,0
ASimpleCache,yangfuhai,3684,1241,Java,https://github.com/yangfuhai/ASimpleCache,0,0
BannerViewPager,zhpanvip,3684,447,Java,https://github.com/zhpanvip/BannerViewPager,0,0
kylin,apache,3683,1530,Java,https://github.com/apache/kylin,0,0
pdfsam,torakiki,3677,357,Java,https://github.com/torakiki/pdfsam,0,0
rejoiner,google,3667,139,Java,https://github.com/google/rejoiner,0,0
shopizer,shopizer-ecommerce,3667,3079,Java,https://github.com/shopizer-ecommerce/shopizer,0,0
sofa-jraft,sofastack,3666,1163,Java,https://github.com/sofastack/sofa-jraft,0,0
bundletool,google,3665,394,Java,https://github.com/google/bundletool,0,0
groupie,lisawray,3665,295,Java,https://github.com/lisawray/groupie,0,0
pixel-dungeon,watabou,3663,1218,Java,https://github.com/watabou/pixel-dungeon,0,0
databus,linkedin,3659,738,Java,https://github.com/linkedin/databus,0,0
Linkage-RecyclerView,KunMinX,3653,462,Java,https://github.com/KunMinX/Linkage-RecyclerView,0,0
android-common,litesuits,3647,1087,Java,https://github.com/litesuits/android-common,0,0
FlatLaf,JFormDesigner,3640,286,Java,https://github.com/JFormDesigner/FlatLaf,0,0
light-4j,networknt,3637,636,Java,https://github.com/networknt/light-4j,0,0
RoaringBitmap,RoaringBitmap,3635,566,Java,https://github.com/RoaringBitmap/RoaringBitmap,0,0
JCTools,JCTools,3631,570,Java,https://github.com/JCTools/JCTools,0,0
chatgpt-java,PlexPt,3631,713,Java,https://github.com/PlexPt/chatgpt-java,0,0
undertow,undertow-io,3629,1011,Java,https://github.com/undertow-io/undertow,0,0
incubator-heron,apache,3628,593,Java,https://github.com/apache/incubator-heron,0,0
Android-BluetoothKit,dingjikerbo,3626,747,Java,https://github.com/dingjikerbo/Android-BluetoothKit,0,0
BlurView,Dimezis,3625,348,Java,https://github.com/Dimezis/BlurView,0,0
tablesaw,jtablesaw,3610,648,Java,https://github.com/jtablesaw/tablesaw,0,0
emojicon,rockerhieu,3610,817,Java,https://github.com/rockerhieu/emojicon,0,0
helidon,helidon-io,3603,567,Java,https://github.com/helidon-io/helidon,0,0
spotbugs,spotbugs,3601,612,Java,https://github.com/spotbugs/spotbugs,0,0
fernflower,fesh0r,3596,676,Java,https://github.com/fesh0r/fernflower,0,0
ExplosionField,tyrantgit,3596,575,Java,https://github.com/tyrantgit/ExplosionField,0,0
