name,owner,stars,forks,language,url,releases,age_years
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22226,772,Java,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,0,0.0
SmartTube,yuliskov,21870,1178,Java,https://github.com/yuliskov/SmartTube,0,0.0
ExoPlayer,google,21807,6037,Java,https://github.com/google/ExoPlayer,0,0.0
awesome-system-design-resources,ashishps1,21701,5188,Java,https://github.com/ashishps1/awesome-system-design-resources,0,0.0
rocketmq,apache,21628,11809,Java,https://github.com/apache/rocketmq,0,0.0
eladmin,elunez,21553,7381,Java,https://github.com/elunez/eladmin,0,0.0
Apktool,iBotPeaches,21552,3681,Java,https://github.com/iBotPeaches/Apktool,0,0.0
Chat2DB,CodePhiliaX,21397,2350,Java,https://github.com/CodePhiliaX/Chat2DB,0,0.0
graal,oracle,20719,1683,Java,https://github.com/oracle/graal,0,0.0
jdk,openjdk,20645,5759,Java,https://github.com/openjdk/jdk,0,0.0
GSYVideoPlayer,CarGuo,20602,4241,Java,https://github.com/CarGuo/GSYVideoPlayer,0,0.0
conductor,conductor-oss,20391,556,Java,https://github.com/conductor-oss/conductor,0,0.0
HikariCP,brettwooldridge,20325,2970,Java,https://github.com/brettwooldridge/HikariCP,0,0.0
DoKit,didi,20291,3145,Java,https://github.com/didi/DoKit,0,0.0
shardingsphere,apache,20126,6785,Java,https://github.com/apache/shardingsphere,0,0.0
mybatis-3,mybatis,20006,12924,Java,https://github.com/mybatis/mybatis-3,0,0.0
RxAndroid,ReactiveX,19865,2947,Java,https://github.com/ReactiveX/RxAndroid,0,0.0
dataease,dataease,19666,3506,Java,https://github.com/dataease/dataease,0,0.0
litemall,linlinjava,19550,7259,Java,https://github.com/linlinjava/litemall,0,0.0
LSPosed,LSPosed,19502,3182,Java,https://github.com/LSPosed/LSPosed,0,0.0
SpringBoot-Labs,yudaocode,19474,6079,Java,https://github.com/yudaocode/SpringBoot-Labs,0,0.0
PhotoView,Baseflow,18833,3930,Java,https://github.com/Baseflow/PhotoView,0,0.0
cat,dianping,18815,5429,Java,https://github.com/dianping/cat,0,0.0
DSA-Bootcamp-Java,kunal-kushwaha,18596,11749,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,0,0.0
thingsboard,thingsboard,18475,5460,Java,https://github.com/thingsboard/thingsboard,0,0.0
SpringCloudLearning,forezp,17923,8057,Java,https://github.com/forezp/SpringCloudLearning,0,0.0
Algorithms,williamfiset,17765,4442,Java,https://github.com/williamfiset/Algorithms,0,0.0
intellij-community,JetBrains,17758,5363,Java,https://github.com/JetBrains/intellij-community,0,0.0
antlr4,antlr,17721,3340,Java,https://github.com/antlr/antlr4,0,0.0
disruptor,LMAX-Exchange,17682,3939,Java,https://github.com/LMAX-Exchange/disruptor,0,0
APIJSON,Tencent,17566,2193,Java,https://github.com/Tencent/APIJSON,0,0
tinker,Tencent,17259,3346,Java,https://github.com/Tencent/tinker,0,0
Sa-Token,dromara,17224,2674,Java,https://github.com/dromara/Sa-Token,0,0
zipkin,openzipkin,17149,3103,Java,https://github.com/openzipkin/zipkin,0,0
fresco,facebook,17100,3758,Java,https://github.com/facebook/fresco,0,0
yudao-cloud,YunaiV,16920,4188,Java,https://github.com/YunaiV/yudao-cloud,0,0
analysis-ik,infinilabs,16879,3291,Java,https://github.com/infinilabs/analysis-ik,0,0
JustAuth,justauth,16810,2795,Java,https://github.com/justauth/JustAuth,0,0
Android-Universal-Image-Loader,nostra13,16777,6087,Java,https://github.com/nostra13/Android-Universal-Image-Loader,0,0
java8-tutorial,winterbe,16773,4046,Java,https://github.com/winterbe/java8-tutorial,0,0
mybatis-plus,baomidou,16730,4345,Java,https://github.com/baomidou/mybatis-plus,0,0
zheng,shuzheng,16708,7360,Java,https://github.com/shuzheng/zheng,0,0
material-components-android,material-components,16623,3118,Java,https://github.com/material-components/material-components-android,0,0
kestra,kestra-io,16543,1397,Java,https://github.com/kestra-io/kestra,0,0
Grasscutter,Grasscutters,16473,4467,Java,https://github.com/Grasscutters/Grasscutter,0,0
