name,owner,stars,forks,language,url,releases,age_years
Alink,alibaba,3595,801,Java,https://github.com/alibaba/Alink,0,0
grpc-spring,grpc-ecosystem,3593,847,Java,https://github.com/grpc-ecosystem/grpc-spring,0,0
cyberduck,iterate-ch,3592,301,Java,https://github.com/iterate-ch/cyberduck,0,0
DropDownMenu,dongjunkun,3590,786,Java,https://github.com/dongjunkun/DropDownMenu,0,0
NewbieGuide,huburt-Hu,3588,522,Java,https://github.com/huburt-Hu/NewbieGuide,0,0
android-stackblur,kikoso,3582,646,Java,https://github.com/kikoso/android-stackblur,0,0
JavaSourceCodeLearning,coderbruis,3579,598,Java,https://github.com/coderbruis/JavaSourceCodeLearning,0,0
data-transfer-project,dtinit,3577,481,Java,https://github.com/dtinit/data-transfer-project,0,0
spock,spockframework,3574,472,Java,https://github.com/spockframework/spock,0,0
android-maps-utils,googlemaps,3568,1536,Java,https://github.com/googlemaps/android-maps-utils,0,0
ShadowLayout,lihangleo2,3567,407,Java,https://github.com/lihangleo2/ShadowLayout,0,0
FlexibleAdapter,davideas,3566,554,Java,https://github.com/davideas/FlexibleAdapter,0,0
ThreeTenABP,JakeWharton,3563,134,Java,https://github.com/JakeWharton/ThreeTenABP,0,0
jackson-databind,FasterXML,3563,1406,Java,https://github.com/FasterXML/jackson-databind,0,0
vertx-examples,vert-x3,3560,2084,Java,https://github.com/vert-x3/vertx-examples,0,0
AppUpdate,WVector,3559,745,Java,https://github.com/WVector/AppUpdate,0,0
netty-learning,code4craft,3553,1191,Java,https://github.com/code4craft/netty-learning,0,0
hackpad,dropbox,3551,527,Java,https://github.com/dropbox/hackpad,0,0
parceler,johncarl81,3548,272,Java,https://github.com/johncarl81/parceler,0,0
MagicaSakura,bilibili,3548,465,Java,https://github.com/bilibili/MagicaSakura,0,0
Android,hmkcode,3545,3411,Java,https://github.com/hmkcode/Android,0,0
floatingsearchview,arimorty,3540,667,Java,https://github.com/arimorty/floatingsearchview,0,0
AndroRAT,karma9874,3540,1094,Java,https://github.com/karma9874/AndroRAT,0,0
retrolambda,luontola,3539,225,Java,https://github.com/luontola/retrolambda,0,0
learning-note,rbmonster,3536,658,Java,https://github.com/rbmonster/learning-note,0,0
mcaselector,Querz,3530,184,Java,https://github.com/Querz/mcaselector,0,0
camunda,camunda,3527,643,Java,https://github.com/camunda/camunda,0,0
ftgo-application,microservices-patterns,3524,1359,Java,https://github.com/microservices-patterns/ftgo-application,0,0
Store,nytimes,3522,305,Java,https://github.com/nytimes/Store,0,0
initializr,spring-io,3522,1753,Java,https://github.com/spring-io/initializr,0,0
RecyclerViewPager,lsjwzh,3520,665,Java,https://github.com/lsjwzh/RecyclerViewPager,0,0
Music-Player,andremion,3516,700,Java,https://github.com/andremion/Music-Player,0,0
brigadier,Mojang,3514,401,Java,https://github.com/Mojang/brigadier,0,0
yacy_search_server,yacy,3511,446,Java,https://github.com/yacy/yacy_search_server,0,0
SwipeMenuListView,baoyongzhang,3506,1259,Java,https://github.com/baoyongzhang/SwipeMenuListView,0,0
akhq,tchiotludo,3504,681,Java,https://github.com/tchiotludo/akhq,0,0
FairEmail,M66B,3502,654,Java,https://github.com/M66B/FairEmail,0,0
libstreaming,fyhertz,3501,1079,Java,https://github.com/fyhertz/libstreaming,0,0
GeekNews,codeestX,3501,822,Java,https://github.com/codeestX/GeekNews,0,0
jshERP,jishenghua,3496,1242,Java,https://github.com/jishenghua/jshERP,0,0
LoadSir,KingJA,3491,505,Java,https://github.com/KingJA/LoadSir,0,0
android-hidden-api,anggrayudi,3491,645,Java,https://github.com/anggrayudi/android-hidden-api,0,0
spring-cloud-kubernetes,spring-cloud,3485,1041,Java,https://github.com/spring-cloud/spring-cloud-kubernetes,0,0
kubernetes-client,fabric8io,3483,1476,Java,https://github.com/fabric8io/kubernetes-client,0,0
RxAndroidBle,dariuszseweryn,3482,589,Java,https://github.com/dariuszseweryn/RxAndroidBle,0,0
JavaEETest,lenve,3481,2810,Java,https://github.com/lenve/JavaEETest,0,0
BottomNavigationViewEx,ittianyu,3475,557,Java,https://github.com/ittianyu/BottomNavigationViewEx,0,0
SurveyKing,javahuang,3472,517,Java,https://github.com/javahuang/SurveyKing,0,0
marshalsec,mbechler,3470,682,Java,https://github.com/mbechler/marshalsec,0,0
immutables,immutables,3470,281,Java,https://github.com/immutables/immutables,0,0
PreviewSeekBar,rubensousa,3468,426,Java,https://github.com/rubensousa/PreviewSeekBar,0,0
HaE,gh0stkey,3464,258,Java,https://github.com/gh0stkey/HaE,0,0
QNotified,ferredoxin,3444,330,Java,https://github.com/ferredoxin/QNotified,0,0
SSM,crossoverJie,3443,1335,Java,https://github.com/crossoverJie/SSM,0,0
logging-log4j2,apache,3441,1647,Java,https://github.com/apache/logging-log4j2,0,0
migration,phodal,3439,566,Java,https://github.com/phodal/migration,0,0
Android-Week-View,alamkanak,3435,1226,Java,https://github.com/alamkanak/Android-Week-View,0,0
Iris,IrisShaders,3435,659,Java,https://github.com/IrisShaders/Iris,0,0
SeeWeather,xcc3641,3434,722,Java,https://github.com/xcc3641/SeeWeather,0,0
giffun,guolindev,3433,685,Java,https://github.com/guolindev/giffun,0,0
AlgoDS,sherxon,3432,609,Java,https://github.com/sherxon/AlgoDS,0,0
MyPerf4J,LinShunKang,3428,546,Java,https://github.com/LinShunKang/MyPerf4J,0,0
Chronicle-Queue,OpenHFT,3422,540,Java,https://github.com/OpenHFT/Chronicle-Queue,0,0
android,cSploit,3421,1116,Java,https://github.com/cSploit/android,0,0
