name,owner,stars,forks,language,url
Alink,alibaba,3595,801,Java,https://github.com/alibaba/Alink
grpc-spring,grpc-ecosystem,3593,847,Java,https://github.com/grpc-ecosystem/grpc-spring
cyberduck,iterate-ch,3592,301,Java,https://github.com/iterate-ch/cyberduck
DropDownMenu,dongjunkun,3590,786,Java,https://github.com/dongjunkun/DropDownMenu
NewbieGuide,huburt-Hu,3588,522,Java,https://github.com/huburt-Hu/NewbieGuide
android-stackblur,kikoso,3582,646,Java,https://github.com/kikoso/android-stackblur
JavaSourceCodeLearning,coderbruis,3579,598,Java,https://github.com/coderbruis/JavaSourceCodeLearning
data-transfer-project,dtinit,3577,481,Java,https://github.com/dtinit/data-transfer-project
spock,spockframework,3574,472,Java,https://github.com/spockframework/spock
android-maps-utils,googlemaps,3568,1536,Java,https://github.com/googlemaps/android-maps-utils
ShadowLayout,lihangleo2,3567,407,Java,https://github.com/lihangleo2/ShadowLayout
FlexibleAdapter,davideas,3566,554,Java,https://github.com/davideas/FlexibleAdapter
ThreeTenABP,JakeWharton,3563,134,Java,https://github.com/JakeWharton/ThreeTenABP
jackson-databind,FasterXML,3563,1406,Java,https://github.com/FasterXML/jackson-databind
vertx-examples,vert-x3,3560,2084,Java,https://github.com/vert-x3/vertx-examples
AppUpdate,WVector,3559,745,Java,https://github.com/WVector/AppUpdate
netty-learning,code4craft,3553,1191,Java,https://github.com/code4craft/netty-learning
hackpad,dropbox,3551,527,Java,https://github.com/dropbox/hackpad
parceler,johncarl81,3548,272,Java,https://github.com/johncarl81/parceler
MagicaSakura,bilibili,3548,465,Java,https://github.com/bilibili/MagicaSakura
Android,hmkcode,3545,3411,Java,https://github.com/hmkcode/Android
floatingsearchview,arimorty,3540,667,Java,https://github.com/arimorty/floatingsearchview
AndroRAT,karma9874,3540,1094,Java,https://github.com/karma9874/AndroRAT
retrolambda,luontola,3539,225,Java,https://github.com/luontola/retrolambda
learning-note,rbmonster,3536,658,Java,https://github.com/rbmonster/learning-note
mcaselector,Querz,3530,184,Java,https://github.com/Querz/mcaselector
camunda,camunda,3527,643,Java,https://github.com/camunda/camunda
ftgo-application,microservices-patterns,3524,1359,Java,https://github.com/microservices-patterns/ftgo-application
Store,nytimes,3522,305,Java,https://github.com/nytimes/Store
initializr,spring-io,3522,1753,Java,https://github.com/spring-io/initializr
RecyclerViewPager,lsjwzh,3520,665,Java,https://github.com/lsjwzh/RecyclerViewPager
Music-Player,andremion,3516,700,Java,https://github.com/andremion/Music-Player
brigadier,Mojang,3514,401,Java,https://github.com/Mojang/brigadier
yacy_search_server,yacy,3511,446,Java,https://github.com/yacy/yacy_search_server
SwipeMenuListView,baoyongzhang,3506,1259,Java,https://github.com/baoyongzhang/SwipeMenuListView
akhq,tchiotludo,3504,681,Java,https://github.com/tchiotludo/akhq
FairEmail,M66B,3502,654,Java,https://github.com/M66B/FairEmail
libstreaming,fyhertz,3501,1079,Java,https://github.com/fyhertz/libstreaming
GeekNews,codeestX,3501,822,Java,https://github.com/codeestX/GeekNews
jshERP,jishenghua,3496,1242,Java,https://github.com/jishenghua/jshERP
LoadSir,KingJA,3491,505,Java,https://github.com/KingJA/LoadSir
