name,owner,stars,forks,language,url,releases,age_years
AndroidImageSlider,daimajia,5624,1654,Java,https://github.com/daimajia/AndroidImageSlider,0,0
JSqlParser,JSQLParser,5609,1374,Java,https://github.com/JSQLParser/JSqlParser,0,0
FlowLayout,hongyangAndroid,5595,1166,Java,https://github.com/hongyangAndroid/FlowLayout,0,0
ShowcaseView,amlcurran,5590,1285,Java,https://github.com/amlcurran/ShowcaseView,0,0
lamp-cloud,dromara,5581,1749,Java,https://github.com/dromara/lamp-cloud,0,0
AppManager,MuntashirAkon,5566,313,Java,https://github.com/MuntashirAkon/AppManager,0,0
Android-ZBLibrary,TommyLemon,5561,1378,Java,https://github.com/TommyLemon/Android-ZBLibrary,0,0
MusicBot,jagrosh,5557,2657,Java,https://github.com/jagrosh/MusicBot,0,0
disconf,knightliao,5553,2284,Java,https://github.com/knightliao/disconf,0,0
ListViewAnimations,nhaarman,5550,1644,Java,https://github.com/nhaarman/ListViewAnimations,0,0
lettuce,redis,5533,1009,Java,https://github.com/redis/lettuce,0,0
EdXposed,ElderDrivers,5525,633,Java,https://github.com/ElderDrivers/EdXposed,0,0
spring-boot-projects,ZHENFENG13,5522,1615,Java,https://github.com/ZHENFENG13/spring-boot-projects,0,0
logisim-evolution,logisim-evolution,5519,698,Java,https://github.com/logisim-evolution/logisim-evolution,0,0
uid-generator,baidu,5509,1563,Java,https://github.com/baidu/uid-generator,0,0
AmazeFileManager,TeamAmaze,5502,1599,Java,https://github.com/TeamAmaze/AmazeFileManager,0,0
StickyListHeaders,emilsjolander,5501,1513,Java,https://github.com/emilsjolander/StickyListHeaders,0,0
mosby,sockeqwe,5480,842,Java,https://github.com/sockeqwe/mosby,0,0
freeline,alibaba,5472,621,Java,https://github.com/alibaba/freeline,0,0
MagicCamera,wuhaoyu1990,5472,1625,Java,https://github.com/wuhaoyu1990/MagicCamera,0,0
AndroidVideoCache,danikula,5459,1169,Java,https://github.com/danikula/AndroidVideoCache,0,0
barcodescanner,dm77,5453,1432,Java,https://github.com/dm77/barcodescanner,0,0
scribejava,scribejava,5452,1672,Java,https://github.com/scribejava/scribejava,0,0
janusgraph,JanusGraph,5449,1187,Java,https://github.com/JanusGraph/janusgraph,0,0
TapTargetView,KeepSafe,5425,594,Java,https://github.com/KeepSafe/TapTargetView,0,0
rebound,facebookarchive,5422,813,Java,https://github.com/facebookarchive/rebound,0,0
linuxdeploy,meefik,5413,691,Java,https://github.com/meefik/linuxdeploy,0,0
wechat,motianhuo,5411,2415,Java,https://github.com/motianhuo/wechat,0,0
dubbo-spring-boot-project,apache,5410,1876,Java,https://github.com/apache/dubbo-spring-boot-project,0,0
jeepay,jeequan,5410,1828,Java,https://github.com/jeequan/jeepay,0,0
FastBle,Jasonchenlijian,5382,1238,Java,https://github.com/Jasonchenlijian/FastBle,0,0
android-job,Evernote,5370,558,Java,https://github.com/Evernote/android-job,0,0
socket.io-client-java,socketio,5368,980,Java,https://github.com/socketio/socket.io-client-java,0,0
SystemBarTint,jgilfelt,5360,1431,Java,https://github.com/jgilfelt/SystemBarTint,0,0
cw-omnibus,commonsguy,5352,3770,Java,https://github.com/commonsguy/cw-omnibus,0,0
shimmer-android,facebookarchive,5342,697,Java,https://github.com/facebookarchive/shimmer-android,0,0
XRecyclerView,XRecyclerView,5334,1257,Java,https://github.com/XRecyclerView/XRecyclerView,0,0
android-advancedrecyclerview,h6ah4i,5326,857,Java,https://github.com/h6ah4i/android-advancedrecyclerview,0,0
hbase,apache,5309,3342,Java,https://github.com/apache/hbase,0,0
generator,mybatis,5300,2504,Java,https://github.com/mybatis/generator,0,0
jetcache,alibaba,5298,1066,Java,https://github.com/alibaba/jetcache,0,0
gradle-retrolambda,evant,5291,446,Java,https://github.com/evant/gradle-retrolambda,0,0
spring-data-examples,spring-projects,5279,3415,Java,https://github.com/spring-projects/spring-data-examples,0,0
android-lifecycle,xxv,5274,677,Java,https://github.com/xxv/android-lifecycle,0,0
VitamioBundle,yixia,5272,2066,Java,https://github.com/yixia/VitamioBundle,0,0
groovy,apache,5265,1899,Java,https://github.com/apache/groovy,0,0
google-authenticator,google,5259,973,Java,https://github.com/google/google-authenticator,0,0
Android-Touch-Helper,zfdang,5250,509,Java,https://github.com/zfdang/Android-Touch-Helper,0,0
Side-Menu.Android,Yalantis,5246,1503,Java,https://github.com/Yalantis/Side-Menu.Android,0,0
titan,thinkaurelius,5242,1009,Java,https://github.com/thinkaurelius/titan,0,0
thumbnailator,coobird,5238,797,Java,https://github.com/coobird/thumbnailator,0,0
twoway-view,lucasr,5230,1020,Java,https://github.com/lucasr/twoway-view,0,0
Pixiv-Shaft,CeuiLiSA,5224,195,Java,https://github.com/CeuiLiSA/Pixiv-Shaft,0,0
Dexter,Karumi,5224,669,Java,https://github.com/Karumi/Dexter,0,0
FloatingActionButton,Clans,5215,1128,Java,https://github.com/Clans/FloatingActionButton,0,0
okdownload,lingochamp,5215,780,Java,https://github.com/lingochamp/okdownload,0,0
BasePopup,razerdp,5214,760,Java,https://github.com/razerdp/BasePopup,0,0
springboot-guide,CodingDocs,5211,1405,Java,https://github.com/CodingDocs/springboot-guide,0,0
novel,201206030,5211,1389,Java,https://github.com/201206030/novel,0,0
web3j,LFDT-web3j,5198,1712,Java,https://github.com/LFDT-web3j/web3j,0,0
smartTable,huangyanbin,5186,866,Java,https://github.com/huangyanbin/smartTable,0,0
nifi,apache,5184,2776,Java,https://github.com/apache/nifi,0,0
library,ddd-by-examples,5179,750,Java,https://github.com/ddd-by-examples/library,0,0
JS-Sorting-Algorithm,hustcc,5171,1149,Java,https://github.com/hustcc/JS-Sorting-Algorithm,0,0
otto,square,5153,845,Java,https://github.com/square/otto,0,0
strimzi-kafka-operator,strimzi,5152,1346,Java,https://github.com/strimzi/strimzi-kafka-operator,0,0
ctci,careercup,5146,2312,Java,https://github.com/careercup/ctci,0,0
DKVideoPlayer,Doikki,5135,1051,Java,https://github.com/Doikki/DKVideoPlayer,0,0
views-widgets-samples,android,5110,3004,Java,https://github.com/android/views-widgets-samples,0,0
dddsample-core,citerus,5103,1496,Java,https://github.com/citerus/dddsample-core,0,0
shattered-pixel-dungeon,00-Evan,5087,1201,Java,https://github.com/00-Evan/shattered-pixel-dungeon,0,0
usb-serial-for-android,mik3y,5080,1620,Java,https://github.com/mik3y/usb-serial-for-android,0,0
keepass2android,PhilippC,5072,402,Java,https://github.com/PhilippC/keepass2android,0,0
bitcoinj,bitcoinj,5064,2507,Java,https://github.com/bitcoinj/bitcoinj,0,0
reactor-core,reactor,5059,1223,Java,https://github.com/reactor/reactor-core,0,0
Small,wequick,5053,1107,Java,https://github.com/wequick/Small,0,0
picocli,remkop,5047,434,Java,https://github.com/remkop/picocli,0,0
Luyten,deathmarine,5037,1003,Java,https://github.com/deathmarine/Luyten,0,0
sodium,CaffeineMC,5034,834,Java,https://github.com/CaffeineMC/sodium,0,0
opentsdb,OpenTSDB,5028,1244,Java,https://github.com/OpenTSDB/opentsdb,0,0
CameraView,natario1,5021,952,Java,https://github.com/natario1/CameraView,0,0
MifareClassicTool,ikarus23,5015,934,Java,https://github.com/ikarus23/MifareClassicTool,0,0
android-common,Trinea,5014,2638,Java,https://github.com/Trinea/android-common,0,0
YCSB,brianfrankcooper,5014,2270,Java,https://github.com/brianfrankcooper/YCSB,0,0
pmd,pmd,5013,1508,Java,https://github.com/pmd/pmd,0,0
sofa-boot,sofastack,5013,1266,Java,https://github.com/sofastack/sofa-boot,0,0
android-zxingLibrary,yipianfengye,5012,1042,Java,https://github.com/yipianfengye/android-zxingLibrary,0,0
easy-rules,j-easy,5011,1081,Java,https://github.com/j-easy/easy-rules,0,0
GravitySnapHelper,rubensousa,5005,617,Java,https://github.com/rubensousa/GravitySnapHelper,0,0
shopping-management-system,zhanglei-workspace,4998,2249,Java,https://github.com/zhanglei-workspace/shopping-management-system,0,0
UltraViewPager,alibaba,4997,681,Java,https://github.com/alibaba/UltraViewPager,0,0
dialogplus,orhanobut,4994,791,Java,https://github.com/orhanobut/dialogplus,0,0
QLExpress,alibaba,4987,1167,Java,https://github.com/alibaba/QLExpress,0,0
TelegramBots,rubenlagus,4985,1266,Java,https://github.com/rubenlagus/TelegramBots,0,0
LayoutManagerGroup,DingMouRen,4985,679,Java,https://github.com/DingMouRen/LayoutManagerGroup,0,0
joda-time,JodaOrg,4984,985,Java,https://github.com/JodaOrg/joda-time,0,0
spring-mvc-showcase,spring-attic,4983,3691,Java,https://github.com/spring-attic/spring-mvc-showcase,0,0
JustTrustMe,Fuzion24,4983,810,Java,https://github.com/Fuzion24/JustTrustMe,0,0
InstaMaterial,frogermcs,4980,1439,Java,https://github.com/frogermcs/InstaMaterial,0,0
midjourney-proxy,novicezk,4979,2413,Java,https://github.com/novicezk/midjourney-proxy,0,0
