name,owner,stars,forks,language,url,releases,age_years
junit5,junit-team,6552,1529,Java,https://github.com/junit-team/junit5,0,0
Leaf,Meituan-Dianping,6550,1853,Java,https://github.com/Meituan-Dianping/Leaf,0,0
langchain4j,langchain4j,6539,1228,Java,https://github.com/langchain4j/langchain4j,0,0
ansj_seg,NLPchina,6519,2315,Java,https://github.com/NLPchina/ansj_seg,0,0
processing,processing,6502,1500,Java,https://github.com/processing/processing,0,0
zeppelin,apache,6471,2818,Java,https://github.com/apache/zeppelin,0,0
Android-skin-support,ximsfei,6463,1090,Java,https://github.com/ximsfei/Android-skin-support,0,0
byte-buddy,raphw,6442,813,Java,https://github.com/raphw/byte-buddy,0,0
quartz,quartz-scheduler,6440,1958,Java,https://github.com/quartz-scheduler/quartz,0,0
RoundedImageView,vinc3m1,6432,1250,Java,https://github.com/vinc3m1/RoundedImageView,0,0
Android-Image-Cropper,ArthurHub,6423,1383,Java,https://github.com/ArthurHub/Android-Image-Cropper,0,0
smali,JesusFreke,6417,1082,Java,https://github.com/JesusFreke/smali,0,0
Spring-Cloud-Platform,wxiaoqi,6399,2393,Java,https://github.com/wxiaoqi/Spring-Cloud-Platform,0,0
java-eight-part,CoderLeixiaoshuai,6395,1016,Java,https://github.com/CoderLeixiaoshuai/java-eight-part,0,0
android-floating-action-button,zendesk,6379,1451,Java,https://github.com/zendesk/android-floating-action-button,0,0
jOOQ,jOOQ,6338,1214,Java,https://github.com/jOOQ/jOOQ,0,0
async-http-client,AsyncHttpClient,6325,1595,Java,https://github.com/AsyncHttpClient/async-http-client,0,0
JFoenix,sshahine,6315,1053,Java,https://github.com/sshahine/JFoenix,0,0
remusic,aa112901,6295,1924,Java,https://github.com/aa112901/remusic,0,0
Recaf,Col-E,6289,476,Java,https://github.com/Col-E/Recaf,0,0
richeditor-android,wasabeef,6289,1199,Java,https://github.com/wasabeef/richeditor-android,0,0
ion,koush,6282,1035,Java,https://github.com/koush/ion,0,0
jsonschema2pojo,joelittlejohn,6277,1660,Java,https://github.com/joelittlejohn/jsonschema2pojo,0,0
hazelcast,hazelcast,6270,1859,Java,https://github.com/hazelcast/hazelcast,0,0
from-java-to-kotlin,amitshekhariitbhu,6257,790,Java,https://github.com/amitshekhariitbhu/from-java-to-kotlin,0,0
config,lightbend,6222,963,Java,https://github.com/lightbend/config,0,0
spring-cloud-examples,ityouknow,6217,3082,Java,https://github.com/ityouknow/spring-cloud-examples,0,0
