name,owner,stars,forks,language,url,releases,age_years
GCViewer,chewiebug,4517,984,Java,https://github.com/chewiebug/GCViewer,0,0
simplify,CalebFenton,4517,444,Java,https://github.com/CalebFenton/simplify,0,0
SmoothProgressBar,castorflex,4513,1004,Java,https://github.com/castorflex/SmoothProgressBar,0,0
android,nextcloud,4504,1812,Java,https://github.com/nextcloud/android,0,0
AndroidHttpCapture,JZ-Darkal,4494,859,Java,https://github.com/JZ-Darkal/AndroidHttpCapture,0,0
allure2,allure-framework,4491,730,Java,https://github.com/allure-framework/allure2,0,0
bilibili-android-client,HotBitmapGG,4491,1481,Java,https://github.com/HotBitmapGG/bilibili-android-client,0,0
azkaban,azkaban,4490,1587,Java,https://github.com/azkaban/azkaban,0,0
java-algorithms-implementation,phishman3579,4486,1858,Java,https://github.com/phishman3579/java-algorithms-implementation,0,0
NineOldAndroids,JakeWharton,4480,1536,Java,https://github.com/JakeWharton/NineOldAndroids,0,0
objectbox-java,objectbox,4480,309,Java,https://github.com/objectbox/objectbox-java,0,0
opengrok,oracle,4475,766,Java,https://github.com/oracle/opengrok,0,0
AndroidTutorialForBeginners,hussien89aa,4471,6094,Java,https://github.com/hussien89aa/AndroidTutorialForBeginners,0,0
epic,tiann,4462,813,Java,https://github.com/tiann/epic,0,0
android-mvp-architecture,janishar,4444,1244,Java,https://github.com/janishar/android-mvp-architecture,0,0
JDA,discord-jda,4440,744,Java,https://github.com/discord-jda/JDA,0,0
Robust,Meituan-Dianping,4438,808,Java,https://github.com/Meituan-Dianping/Robust,0,0
android-times-square,square,4438,1185,Java,https://github.com/square/android-times-square,0,0
GT,Tencent,4407,1033,Java,https://github.com/Tencent/GT,0,0
DeepLinkDispatch,airbnb,4396,407,Java,https://github.com/airbnb/DeepLinkDispatch,0,0
moco,dreamhead,4392,1089,Java,https://github.com/dreamhead/moco,0,0
Ant-Media-Server,ant-media,4391,654,Java,https://github.com/ant-media/Ant-Media-Server,0,0
djl,deepjavalibrary,4389,693,Java,https://github.com/deepjavalibrary/djl,0,0
ticker,robinhood,4386,464,Java,https://github.com/robinhood/ticker,0,0
WePush,rememberber,4384,992,Java,https://github.com/rememberber/WePush,0,0
ipscan,angryip,4367,743,Java,https://github.com/angryip/ipscan,0,0
BottomNavigation,Ashok-Varma,4367,686,Java,https://github.com/Ashok-Varma/BottomNavigation,0,0
GDA-android-reversing-Tool,charles2gan,4365,536,Java,https://github.com/charles2gan/GDA-android-reversing-Tool,0,0
shiro,apache,4360,2313,Java,https://github.com/apache/shiro,0,0
